ResponseID,response,predicted_category,all_scores
253,timings hard left right,Mission Parameters and Objectives,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 0.0, 'Mission Parameters and Objectives': 1.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
254,water column data route area operations,Environmental and Oceanographic Conditions,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.5, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 0.5, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
254,water column data route zone operations,Environmental and Oceanographic Conditions,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.5, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 0.5, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
255,launch recovery locations parameters,Operational Logistics,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.2, 'Navigation and Positioning': 0.0, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.2, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.6}"
255,launch recovery locations parameters,Operational Logistics,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.2, 'Navigation and Positioning': 0.0, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.2, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.6}"
256,sensor range fitted vehicle,Vehicle Capabilities and Constraints,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 1.0, 'Navigation and Positioning': 0.0, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
256,sensor range fitted vehicle,Vehicle Capabilities and Constraints,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 1.0, 'Navigation and Positioning': 0.0, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
257,endurance vehicle,Vehicle Capabilities and Constraints,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 1.0, 'Navigation and Positioning': 0.0, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
257,endurance vehicle,Vehicle Capabilities and Constraints,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 1.0, 'Navigation and Positioning': 0.0, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
258,maximum depth vehicle,Vehicle Capabilities and Constraints,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.6666666666666666, 'Navigation and Positioning': 0.3333333333333333, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
258,maximum depth vehicle,Vehicle Capabilities and Constraints,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.6666666666666666, 'Navigation and Positioning': 0.3333333333333333, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
259,active sensor collection requirements,Mission Parameters and Objectives,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 0.0, 'Mission Parameters and Objectives': 1.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
259,active sensor collection requirements,Mission Parameters and Objectives,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 0.0, 'Mission Parameters and Objectives': 1.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
260,global positioning system fixing requirements frequency,Navigation and Positioning,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 0.5, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.5, 'Operational Logistics': 0.0}"
260,global positioning platform fixing requirements frequency,Navigation and Positioning,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 0.5, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.5, 'Operational Logistics': 0.0}"
261,accuracy requirements sensors,Navigation and Positioning,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 1.0, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
261,accuracy requirements sensors,Navigation and Positioning,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 1.0, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
262,accuracy requirements navigation,Navigation and Positioning,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 1.0, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
262,accuracy requirements navigation,Navigation and Positioning,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 1.0, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
263,minimum depth vehicle,Vehicle Capabilities and Constraints,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.6666666666666666, 'Navigation and Positioning': 0.3333333333333333, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
263,minimum depth vehicle,Vehicle Capabilities and Constraints,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.6666666666666666, 'Navigation and Positioning': 0.3333333333333333, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
264,vector electronic navigational charts data route area operations,Navigation and Positioning,"{'Terrain and Bathymetry': 0.25, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 0.75, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
264,vector electronic navigational charts dataset route area operations,Navigation and Positioning,"{'Terrain and Bathymetry': 0.25, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 0.75, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
265,vehicle speed limitations parameters,Vehicle Capabilities and Constraints,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 1.0, 'Navigation and Positioning': 0.0, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
265,vehicle speed limitations parameters,Vehicle Capabilities and Constraints,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 1.0, 'Navigation and Positioning': 0.0, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
266,vehicle communication requirements,Vehicle Capabilities and Constraints,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.5, 'Navigation and Positioning': 0.0, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.5, 'Operational Logistics': 0.0}"
266,vehicle signal requirements,Vehicle Capabilities and Constraints,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.5, 'Navigation and Positioning': 0.0, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.5, 'Operational Logistics': 0.0}"
267,navigational hazards route area operations,Navigation and Positioning,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 0.75, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.25, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
267,navigational hazards route area operations,Navigation and Positioning,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 0.75, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.25, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
268,no-go zones route area operations,Navigation and Positioning,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 0.6666666666666666, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.3333333333333333, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
268,no-go zones route region operations,Navigation and Positioning,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 0.6666666666666666, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.3333333333333333, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
269,dive ascent process time,uncategorised,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 0.0, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
269,dive ascent process elapsed time,uncategorised,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 0.0, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
270,actions loss communications loss vehicle etc,Vehicle Capabilities and Constraints,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.6666666666666666, 'Navigation and Positioning': 0.0, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.3333333333333333, 'Operational Logistics': 0.0}"
270,actions loss communications loss vehicle etc,Vehicle Capabilities and Constraints,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.6666666666666666, 'Navigation and Positioning': 0.0, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.3333333333333333, 'Operational Logistics': 0.0}"
271,search area area operations coordinates,Navigation and Positioning,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 0.5, 'Mission Parameters and Objectives': 0.5, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
271,search AOI area operations coordinates,Navigation and Positioning,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 1.0, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
272,mission collection requirements,Mission Parameters and Objectives,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 0.0, 'Mission Parameters and Objectives': 1.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
272,mission collection requirements,Mission Parameters and Objectives,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 0.0, 'Mission Parameters and Objectives': 1.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
273,zone confidence route area operations,Navigation and Positioning,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 1.0, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
273,zone confidence route area operations,Navigation and Positioning,"{'Terrain and Bathymetry': 0.0, 'Environmental and Oceanographic Conditions': 0.0, 'Vehicle Capabilities and Constraints': 0.0, 'Navigation and Positioning': 1.0, 'Mission Parameters and Objectives': 0.0, 'Threats and Risk Management': 0.0, 'Historical and Contextual Data': 0.0, 'Data Products and Requirements': 0.0, 'Communications and Control': 0.0, 'Operational Logistics': 0.0}"
