requirement_id,requirement_text,taxonomy_domain,domain_concept,combined_score,keyword_score,semantic_score,classification
S03,The UUV shall adjust power and speed to maintain dive efficiency and safety,NavigationAndPositioning,AccuracyAndHazards,0.392,39.8,0.389,discard
S03,The UUV shall adjust power and speed to maintain dive efficiency and safety,StandardsAndGovernance,CapacityAndScalability,0.391,45.9,0.361,discard
S04,Navigation module shall incorporate real-time oceanographic data for dive planning,EnvironmentalAndOceanographicConditions,MeasurementAndModels,0.5,51.6,0.493,discard
S04,Navigation module shall incorporate real-time oceanographic data for dive planning,VehicleCapabilitiesAndConstraints,DepthLimits,0.459,35.1,0.506,discard
S04,Navigation module shall incorporate real-time oceanographic data for dive planning,NavigationAndPositioning,AccuracyAndHazards,0.455,44.2,0.461,discard
S05,The UUV shall be able to offset its dive for avoidance of hazards and remain in approved waters,VehicleCapabilitiesAndConstraints,DepthLimits,0.443,37.3,0.473,discard
S05,The UUV shall be able to offset its dive for avoidance of hazards and remain in approved waters,EstimationAndUncertaintyModelling,RiskFusionAndEffectiveness,0.437,37.1,0.465,discard
S05,The UUV shall be able to offset its dive for avoidance of hazards and remain in approved waters,OperationalLogistics,AccessAndSupport,0.422,41.8,0.423,discard
S06,The system shall respect GO/NO-GO constraints for protected infrastructure and environmental zones,NavigationAndPositioning,AccuracyAndHazards,0.444,44.7,0.443,discard
S06,The system shall respect GO/NO-GO constraints for protected infrastructure and environmental zones,EnvironmentalAndOceanographicConditions,EnvironmentalRisks,0.444,51.1,0.415,discard
S06,The system shall respect GO/NO-GO constraints for protected infrastructure and environmental zones,MissionParametersAndObjectives,SpatialAspects,0.4,43.8,0.384,discard
S07,Guidance control shall enforce safe minimum/maximum dive or climb angles,NavigationAndPositioning,AccuracyAndHazards,0.471,33.3,0.529,discard
S07,Guidance control shall enforce safe minimum/maximum dive or climb angles,ThreatsAndRiskManagement,SafetyAndMitigation,0.466,44.3,0.476,discard
S07,Guidance control shall enforce safe minimum/maximum dive or climb angles,VehicleCapabilitiesAndConstraints,DepthLimits,0.465,42.0,0.484,discard
S08,The UUV shall support selectable dive behaviors (straight/spiral/waypoint),NavigationAndPositioning,AccuracyAndHazards,0.438,34.1,0.479,discard
S08,The UUV shall support selectable dive behaviors (straight/spiral/waypoint),OperationalLogistics,AccessAndSupport,0.402,40.0,0.402,discard
S08,The UUV shall support selectable dive behaviors (straight/spiral/waypoint),VehicleCapabilitiesAndConstraints,DepthLimits,0.391,35.7,0.405,discard
S09,"Navigation system must support dead reckoning, USBL, and LBL with selectable modes",NavigationAndPositioning,AccuracyAndHazards,0.462,46.5,0.461,discard
S09,"Navigation system must support dead reckoning, USBL, and LBL with selectable modes",NavigationAndPositioning,NavigationSystems,0.402,43.5,0.387,discard
S09,"Navigation system must support dead reckoning, USBL, and LBL with selectable modes",NavigationAndPositioning,FailureScenarios,0.364,33.8,0.375,discard
S10,The UUV shall automatically activate collision avoidance when nearing the seafloor,ThreatsAndRiskManagement,SafetyAndMitigation,0.487,48.2,0.49,discard
S10,The UUV shall automatically activate collision avoidance when nearing the seafloor,NavigationAndPositioning,AccuracyAndHazards,0.455,39.3,0.481,discard
S10,The UUV shall automatically activate collision avoidance when nearing the seafloor,VehicleCapabilitiesAndConstraints,DepthLimits,0.41,36.1,0.432,discard
S11,The vessel operator may interrupt or abort dive profiles from the surface,NavigationAndPositioning,TrafficAndSurfaceFixRisks,0.566,42.3,0.627,discard
S11,The vessel operator may interrupt or abort dive profiles from the surface,OperationalLogistics,AccessAndSupport,0.466,42.3,0.484,discard
S11,The vessel operator may interrupt or abort dive profiles from the surface,VehicleCapabilitiesAndConstraints,DepthLimits,0.419,40.0,0.426,discard
S12,The system shall maintain a functional vessel-UUV link for initial dive phase health/status updates,NavigationAndPositioning,TrafficAndSurfaceFixRisks,0.439,42.0,0.447,discard
S12,The system shall maintain a functional vessel-UUV link for initial dive phase health/status updates,EstimationAndUncertaintyModelling,RiskFusionAndEffectiveness,0.408,37.9,0.421,discard
S12,The system shall maintain a functional vessel-UUV link for initial dive phase health/status updates,OperationalLogistics,AccessAndSupport,0.406,40.0,0.409,discard
M01,The UUV shall autonomously adapt path and depth based on real-time environmental data,EstimationAndUncertaintyModelling,RiskFusionAndEffectiveness,0.555,39.4,0.624,discard
M01,The UUV shall autonomously adapt path and depth based on real-time environmental data,StandardsAndGovernance,CapacityAndScalability,0.426,45.6,0.414,discard
M01,The UUV shall autonomously adapt path and depth based on real-time environmental data,VehicleCapabilitiesAndConstraints,DepthLimits,0.426,39.7,0.439,discard
M02,The system shall optimize route and speed to balance battery reserves and payload needs,MissionParametersAndObjectives,SpatialAspects,0.452,44.1,0.457,discard
M02,The system shall optimize route and speed to balance battery reserves and payload needs,VehicleCapabilitiesAndConstraints,PerformanceConstraints,0.389,41.0,0.38,discard
M02,The system shall optimize route and speed to balance battery reserves and payload needs,VehicleCapabilitiesAndConstraints,Performance,0.382,42.8,0.363,discard
M03,"Mission planner shall enable waypoint, depth, and altitude management for sensor optimization",TestAndEvaluationScenarios,SystemBenchmarks,0.489,50.8,0.481,discard
M03,"Mission planner shall enable waypoint, depth, and altitude management for sensor optimization",NavigationAndPositioning,AccuracyAndHazards,0.481,39.3,0.519,discard
M03,"Mission planner shall enable waypoint, depth, and altitude management for sensor optimization",OperationalLogistics,FieldOperations,0.448,45.3,0.446,discard
M04,"The UUV shall log and transmit navigation, status, and payload data at configured intervals",StandardsAndGovernance,CapacityAndScalability,0.495,45.1,0.513,discard
M04,"The UUV shall log and transmit navigation, status, and payload data at configured intervals",MissionAuditAndTraceability,MissionLogging,0.482,40.6,0.515,discard
M04,"The UUV shall log and transmit navigation, status, and payload data at configured intervals",MissionAuditAndTraceability,SearchAndRetrieval,0.452,41.5,0.468,discard
M05,"The navigation engine shall account for currents, stratification, and up/down-welling",NavigationAndPositioning,AccuracyAndHazards,0.556,48.0,0.588,discard
M05,"The navigation engine shall account for currents, stratification, and up/down-welling",NavigationAndPositioning,FailureScenarios,0.463,34.6,0.513,discard
M05,"The navigation engine shall account for currents, stratification, and up/down-welling",NavigationAndPositioning,RouteAndTrajectory,0.428,45.8,0.415,discard
M06,The UUV shall maintain avoidance of seafloor and subsea hazards using internal mapping,TerrainAndBathymetry,SeafloorAndInfrastructure,0.479,51.4,0.464,discard
M06,The UUV shall maintain avoidance of seafloor and subsea hazards using internal mapping,NavigationAndPositioning,AccuracyAndHazards,0.457,42.0,0.473,discard
M06,The UUV shall maintain avoidance of seafloor and subsea hazards using internal mapping,EstimationAndUncertaintyModelling,RiskFusionAndEffectiveness,0.445,37.5,0.475,discard
M07,Guidance system shall support terrain-following or pipe-tracking as specified in mission objectives,MissionAuditAndTraceability,MissionLogging,0.441,44.2,0.44,discard
M07,Guidance system shall support terrain-following or pipe-tracking as specified in mission objectives,NavigationAndPositioning,AccuracyAndHazards,0.427,40.2,0.438,discard
M07,Guidance system shall support terrain-following or pipe-tracking as specified in mission objectives,NavigationAndPositioning,RouteAndTrajectory,0.42,41.9,0.42,discard
M08,"Autonomous fail-safes shall respond to loss of comms, excessive attitude, or collision warnings",ThreatsAndRiskManagement,SafetyAndMitigation,0.563,49.0,0.594,discard
M08,"Autonomous fail-safes shall respond to loss of comms, excessive attitude, or collision warnings",NavigationAndPositioning,AccuracyAndHazards,0.462,35.7,0.507,discard
M08,"Autonomous fail-safes shall respond to loss of comms, excessive attitude, or collision warnings",ThreatsAndRiskManagement,Hazards,0.45,41.5,0.466,discard
M09,Mission completion criteria (waypoint/objective achieved) shall trigger return or next-phase behavior,MissionAuditAndTraceability,PerformanceRatios,0.49,50.3,0.484,discard
M09,Mission completion criteria (waypoint/objective achieved) shall trigger return or next-phase behavior,VehicleCapabilitiesAndConstraints,OperationalLimits,0.466,45.8,0.469,discard
M09,Mission completion criteria (waypoint/objective achieved) shall trigger return or next-phase behavior,TestAndEvaluationScenarios,SystemBenchmarks,0.46,46.5,0.458,discard
M10,The operator may configure the level of required autonomy or surface oversight per mission,VehicleCapabilitiesAndConstraints,OperationalLimits,0.519,50.9,0.523,discard
M10,The operator may configure the level of required autonomy or surface oversight per mission,CommunicationsAndControl,ControlSystems,0.466,36.1,0.511,discard
M10,The operator may configure the level of required autonomy or surface oversight per mission,MissionParametersAndObjectives,Objectives,0.462,40.3,0.487,discard
M11,Continuous or burst-based UUV-vessel telemetry protocols shall be supported,MissionAuditAndTraceability,RecordAndReplay,0.445,39.8,0.465,discard
M11,Continuous or burst-based UUV-vessel telemetry protocols shall be supported,StandardsAndGovernance,CapacityAndScalability,0.434,34.8,0.471,discard
M11,Continuous or burst-based UUV-vessel telemetry protocols shall be supported,CommunicationsAndControl,TelemetryObservability,0.415,41.3,0.416,discard
M12,The UUV shall flag or abort mission if protected boundaries or zones are breached,ThreatsAndRiskManagement,Hazards,0.403,45.0,0.384,discard
M12,The UUV shall flag or abort mission if protected boundaries or zones are breached,NavigationAndPositioning,AccuracyAndHazards,0.385,44.0,0.361,discard
M12,The UUV shall flag or abort mission if protected boundaries or zones are breached,EstimationAndUncertaintyModelling,RiskFusionAndEffectiveness,0.384,35.4,0.396,discard
